"Source:","/home/adasneves/src/SAFETy-Computer/Hardware/Schematics/ALU/ALU.kicad_sch"
"Date:","Mon 27 Mar 2023 10:35:01 PM EDT"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C2","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C3","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C4","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C5","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C6","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C7","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C8","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C9","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C10","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C11","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C12","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C13","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C14","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C15","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C16","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C17","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C18","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C19","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C20","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C21","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C22","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","J1","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","~"
"","","J2","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","~"
"","","J3","Conn_02x05_Counter_Clockwise","Connector_Generic:Conn_02x05_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal","~"
"","","J4","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","~"
"","","J5","Conn_02x05_Counter_Clockwise","Connector_Generic:Conn_02x05_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal","~"
"","","RN1","R_Network08","Device:R_Network08","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"","","U1","74LS113","74xx:74LS113","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS113"
"","","U2","74LS32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS32"
"","","U3","74LS113","74xx:74LS113","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS113"
