"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6,C7,C8,C5";"C_Disc_D3.0mm_W2.0mm_P2.50mm";4;"C";;;
2;"U3";"DIP-28_W15.24mm";1;"CY62256-70PC";;;
3;"D11,D12,D21,D13,D10,D16,D25,D20,D18,D7,D9,D8,D1,D22,D14,D4,D19,D3,D23,D17,D6,D5,D24,D15,D2";"LED_D3.0mm";25;"LED";;;
4;"U5,U4";"DIP-8_W7.62mm";2;"NE555P";;;
5;"R1,R3,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";3;"R";;;
6;"J1";"PinHeader_1x18_P2.54mm_Vertical";1;"Conn_01x18";;;
7;"C2,C1,C3,C4";"CP_Radial_D8.0mm_P3.80mm";4;"C_Polarized";;;
8;"SW1,SW2";"SW_CuK_OS102011MA1QN1_SPDT_Angled";2;"SW_SPDT";;;
9;"RN2,RN1,RN3";"R_Array_SIP9";3;"R_Network08";;;
10;"J3";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10";;;
11;"U1";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS04";;;
12;"RV1,RV2";"Potentiometer_ACP_CA9-V10_Vertical";2;"R_Potentiometer";;;
13;"J4";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
14;"U2";"DIP-28_W15.24mm";1;"28C256";;;
15;"J2";"USB_B_Lumberg_2411_02_Horizontal";1;"USB_B";;;
